school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patters,ages_puzzle,coins_puzzle,factorisation,policesquad,Ration Patterns
3051044-rj44,0.5,0.0,0.6666666666666666,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072006-rj56,0.6666666666666666,0.0,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.25,0.0,0.0
3072009-rj59,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3072050-rj100,0.0,0.0,0.5,2.75,0.0,0.0,0.0,0.0,1.2,2.0,0.0
4231036-tg136,0.16666666666666666,0.0,0.0,0.5,0.12903225806451613,0.0,0.0625,0.0,0.3125,2.769230769230769,2.5
3051026-rj26,1.8333333333333333,0.0,0.0,2.7142857142857144,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.75,2.25,0.0,0.0
3051030-rj30,0.0,0.0,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4122100-tg300,0.21428571428571427,0.0,0.0,0.43333333333333335,0.06666666666666667,0.0,0.625,0.5625,1.475,0.45454545454545453,2.5
3051049-rj49,4.666666666666667,0.3,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.0
1011001-ct1,1.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0.6363636363636364,0.5833333333333334,0.6666666666666666,0.6,1.5
3072033-rj83,3.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
3051002-rj2,4.666666666666667,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051036-rj36,1.75,1.0,0.5,0.0,0.0,0.0,1.0,0.6,0.8,0.0,0.0
